2023-02-02 16:01:15,558 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 16:01:15,559 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:01:27,643 | MainThread   | [ERROR   ] | _connect            |: 
2023-02-02 16:01:28,646 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:01:28,647 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:01:30,643 | MainThread   | [ERROR   ] | _connect            |: Device with address 46:80:E7:00:7D:6A was not found.
2023-02-02 16:01:31,652 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:01:31,652 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:01:33,672 | MainThread   | [ERROR   ] | _connect            |: Device with address 3C:A9:42:E0:E5:9D was not found.
2023-02-02 16:01:34,681 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:01:50,391 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:01:56,505 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 16:02:55,944 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 16:02:56,067 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 16:02:56,067 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2023-02-02 16:03:10,634 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 16:03:10,743 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 16:03:10,744 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2023-02-02 16:03:10,804 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-02 16:03:10,816 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
